league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2022-10-30,18:00,Casa Pia,Rio Ave,1,0,H,0,0,D,11,9,2,0,3,4,18,21,2,3,0,0,2.0,3.2,3.8,18,6,H,3,0,1,1,D,0,0,20,30
P1,2022-10-30,20:30,Gil Vicente,Sp Braga,0,1,A,0,0,D,8,14,3,6,5,8,17,16,4,3,0,0,4.5,3.8,1.72,20,6,A,0,3,-1,1,D,0,0,40,30
P1,2022-10-31,20:15,Guimaraes,Famalicao,3,2,H,1,0,H,13,9,6,4,1,7,19,20,4,5,0,0,1.95,3.6,3.5,20,0,H,3,0,1,5,H,1,1,40,50
P1,2022-11-04,20:15,Gil Vicente,Portimonense,1,2,A,1,1,D,19,17,6,7,4,3,12,12,2,1,0,0,2.2,3.25,3.2,20,4,A,0,3,-1,3,D,0,2,20,10
P1,2022-11-05,15:30,Vizela,Arouca,0,1,A,0,1,A,25,7,6,2,11,2,5,14,1,4,0,0,1.9,3.25,4.5,15,5,A,0,3,-1,1,A,-1,1,10,40
P1,2022-11-05,18:00,Porto,Pacos Ferreira,4,0,H,3,0,H,18,9,7,3,4,6,16,8,2,3,0,0,1.12,8.0,21.0,18,5,H,3,0,4,4,H,3,3,20,30
P1,2022-11-05,20:30,Sp Lisbon,Guimaraes,3,0,H,2,0,H,17,3,6,0,11,3,17,10,1,5,0,1,1.33,5.25,8.0,20,5,H,3,0,3,3,H,2,2,10,75
P1,2022-11-06,15:30,Rio Ave,Boavista,1,0,H,0,0,D,7,7,1,1,4,4,11,13,3,2,0,0,2.45,3.1,3.0,15,6,H,3,0,1,1,D,0,0,30,20
P1,2022-11-06,18:00,Maritimo,Famalicao,0,0,D,0,0,D,17,13,3,3,7,6,19,14,2,2,0,0,2.75,3.2,2.55,18,6,D,1,1,0,0,D,0,0,20,20
P1,2022-11-06,18:00,Sp Braga,Casa Pia,0,1,A,0,1,A,28,12,8,3,7,1,14,14,2,3,0,0,1.4,5.0,7.0,18,6,A,0,3,-1,1,A,-1,1,20,30
P1,2022-11-06,20:30,Estoril,Benfica,1,5,A,0,3,A,8,18,3,7,2,11,13,9,0,0,0,0,8.5,5.75,1.3,20,6,A,0,3,-4,6,A,-3,3,0,0
P1,2022-11-07,20:15,Chaves,Santa Clara,0,0,D,0,0,D,13,18,4,2,4,6,12,12,4,4,0,0,2.3,3.25,3.1,20,0,D,1,1,0,0,D,0,0,40,40
P1,2022-11-12,18:00,Arouca,Rio Ave,0,1,A,0,0,D,11,9,0,5,10,4,12,15,5,4,0,0,2.25,3.2,3.25,18,5,A,0,3,-1,1,D,0,0,50,40
P1,2022-11-12,20:30,Boavista,Porto,1,4,A,0,1,A,6,24,0,9,5,4,16,15,5,1,1,0,8.5,4.75,1.33,20,5,A,0,3,-3,5,A,-1,1,75,10
P1,2022-11-13,15:30,Guimaraes,Maritimo,1,0,H,0,0,D,12,6,4,3,1,6,12,16,1,2,0,0,1.66,3.6,5.25,15,6,H,3,0,1,1,D,0,0,10,20
P1,2022-11-13,15:30,Pacos Ferreira,Vizela,0,2,A,0,0,D,14,21,5,9,9,7,12,17,1,4,0,0,3.1,3.2,2.37,15,6,A,0,3,-2,2,D,0,0,10,40
P1,2022-11-13,18:00,Benfica,Gil Vicente,3,1,H,2,1,H,17,4,6,2,6,0,13,12,1,1,0,0,1.14,8.5,15.0,18,6,H,3,0,2,4,H,1,3,10,10
P1,2022-11-13,18:00,Casa Pia,Chaves,1,2,A,1,0,H,14,13,4,4,2,0,15,12,4,1,0,0,2.0,3.4,3.75,18,6,A,0,3,-1,3,H,1,1,40,10
P1,2022-11-13,18:00,Portimonense,Sp Braga,1,2,A,1,0,H,14,22,5,10,2,8,9,8,2,5,0,2,5.0,3.75,1.66,18,6,A,0,3,-1,3,H,1,1,20,100
P1,2022-11-13,20:30,Famalicao,Sp Lisbon,1,2,A,0,2,A,11,21,2,8,3,5,14,17,4,7,0,0,5.5,3.75,1.65,20,6,A,0,3,-1,3,A,-2,2,40,70
P1,2022-11-14,20:15,Santa Clara,Estoril,3,1,H,2,1,H,15,16,9,1,6,7,19,15,3,1,0,0,2.25,3.2,3.2,20,0,H,3,0,2,4,H,1,3,30,10
P1,2022-12-23,20:15,Rio Ave,Maritimo,1,1,D,1,1,D,19,8,5,1,5,5,18,19,1,1,0,0,2.0,3.5,3.8,20,4,D,1,1,0,2,D,0,2,10,10
P1,2022-12-28,19:00,Portimonense,Casa Pia,1,2,A,1,1,D,6,20,2,7,1,11,22,10,4,3,0,0,2.38,3.1,3.1,19,2,A,0,3,-1,3,D,0,2,40,30
P1,2022-12-28,21:15,Porto,Arouca,5,1,H,3,0,H,16,8,11,2,5,3,13,14,1,3,0,0,1.11,8.0,23.0,21,2,H,3,0,4,6,H,3,3,10,30
P1,2022-12-29,17:00,Gil Vicente,Santa Clara,1,0,H,1,0,H,14,10,5,1,4,9,17,14,3,2,0,0,2.15,3.2,3.5,17,3,H,3,0,1,1,H,1,1,30,20
P1,2022-12-29,21:15,Sp Lisbon,Pacos Ferreira,3,0,H,3,0,H,15,6,5,1,4,3,18,14,1,4,1,0,1.13,8.0,21.0,21,3,H,3,0,3,3,H,3,3,35,40
P1,2022-12-30,17:00,Chaves,Famalicao,0,2,A,0,1,A,19,15,3,6,5,3,18,19,4,5,0,0,2.5,3.2,2.8,17,4,A,0,3,-2,2,A,-1,1,40,50
P1,2022-12-30,19:00,Vizela,Guimaraes,3,0,H,1,0,H,9,16,4,3,1,5,18,12,5,3,0,0,2.2,3.25,3.3,19,4,H,3,0,3,3,H,1,1,50,30
P1,2022-12-30,21:15,Sp Braga,Benfica,3,0,H,2,0,H,15,10,6,3,4,8,11,13,1,3,0,0,4.5,3.8,1.7,21,4,H,3,0,3,3,H,2,2,10,30
P1,2023-01-05,20:15,Santa Clara,Sp Braga,0,4,A,0,2,A,3,26,0,13,1,6,15,14,1,1,0,0,5.0,3.6,1.65,20,3,A,0,3,-4,4,A,-2,2,10,10
