,league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,season_file,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_bookings_pts,away_bookings_pts,time
47,P1,2010-09-27,Setubal,Pacos Ferreira,1.0,0.0,H,1.0,0.0,H,2.5,3.1,2.9,,0.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
48,P1,2010-10-01,Leiria,Academica,2.0,1.0,H,0.0,1.0,A,2.6,3.0,2.88,,4.0,H,3.0,0.0,1.0,3.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
49,P1,2010-10-02,Olhanense,Setubal,3.0,1.0,H,2.0,0.0,H,1.95,3.2,4.2,,5.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
50,P1,2010-10-03,Benfica,Sp Braga,1.0,0.0,H,0.0,0.0,D,1.75,3.4,5.0,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
51,P1,2010-10-03,Nacional,Portimonense,3.0,1.0,H,1.0,1.0,D,1.75,3.3,5.25,,6.0,H,3.0,0.0,2.0,4.0,D,0.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
52,P1,2010-10-03,Naval,Pacos Ferreira,1.0,2.0,A,1.0,0.0,H,2.6,3.0,2.88,,6.0,A,0.0,3.0,-1.0,3.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
53,P1,2010-10-03,Rio Ave,Maritimo,0.0,0.0,D,0.0,0.0,D,2.6,3.0,2.88,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
54,P1,2010-10-04,Beira Mar,Sp Lisbon,1.0,1.0,D,1.0,1.0,D,4.33,3.25,1.91,,0.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
55,P1,2010-10-04,Guimaraes,Porto,1.0,1.0,D,0.0,1.0,A,6.0,3.6,1.62,,0.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
56,P1,2010-10-22,Academica,Nacional,2.0,1.0,H,2.0,0.0,H,2.25,3.1,3.4,,4.0,H,3.0,0.0,1.0,3.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
58,P1,2010-10-23,Setubal,Guimaraes,2.0,1.0,H,2.0,0.0,H,3.1,3.1,2.38,,5.0,H,3.0,0.0,1.0,3.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
59,P1,2010-10-23,Sp Braga,Olhanense,3.0,1.0,H,0.0,1.0,A,1.62,3.75,5.5,,5.0,H,3.0,0.0,2.0,4.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
57,P1,2010-10-23,Pacos Ferreira,Beira Mar,1.0,1.0,D,1.0,0.0,H,2.0,3.2,3.9,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
60,P1,2010-10-24,Maritimo,Naval,1.0,0.0,H,0.0,0.0,D,1.85,3.4,4.33,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
61,P1,2010-10-24,Portimonense,Benfica,0.0,1.0,A,0.0,0.0,D,7.5,4.5,1.4,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
62,P1,2010-10-24,Sp Lisbon,Rio Ave,1.0,0.0,H,0.0,0.0,D,1.4,4.33,8.0,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
63,P1,2010-10-25,Porto,Leiria,5.0,1.0,H,3.0,0.0,H,1.2,6.25,13.0,,0.0,H,3.0,0.0,4.0,6.0,H,3.0,3.0,cleanP1_1011,,,,,,,,,,,,,,,
64,P1,2010-10-29,Benfica,Pacos Ferreira,2.0,0.0,H,1.0,0.0,H,1.22,5.75,13.0,,4.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
65,P1,2010-10-30,Academica,Porto,0.0,1.0,A,0.0,1.0,A,7.0,3.8,1.5,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
66,P1,2010-10-30,Rio Ave,Sp Braga,2.0,0.0,H,0.0,0.0,D,4.5,3.4,1.83,,5.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0,cleanP1_1011,,,,,,,,,,,,,,,
69,P1,2010-10-31,Nacional,Setubal,1.0,0.0,H,1.0,0.0,H,1.75,3.3,5.0,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0,cleanP1_1011,,,,,,,,,,,,,,,
67,P1,2010-10-31,Beira Mar,Naval,3.0,1.0,H,2.0,0.0,H,2.2,3.1,3.4,,6.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0,cleanP1_1011,,,,,,,,,,,,,,,
