league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2017-01-15,Maritimo,Pacos Ferreira,3,1,H,2,1,H,2.05,3.2,3.75,,6,H,3,0,2,4,H,1,3
P1,2017-01-15,Porto,Moreirense,3,0,H,2,0,H,1.2,6.5,13.0,,6,H,3,0,3,3,H,2,2
P1,2017-01-16,Sp Braga,Tondela,2,0,H,0,0,D,1.44,4.2,7.5,,0,H,3,0,2,2,D,0,0
P1,2017-01-20,Pacos Ferreira,Moreirense,0,2,A,0,1,A,2.4,3.0,3.2,,4,A,0,3,-2,2,A,-1,1
P1,2017-01-21,Arouca,Boavista,1,2,A,1,1,D,2.1,3.2,3.6,,5,A,0,3,-1,3,D,0,2
P1,2017-01-21,Maritimo,Sp Lisbon,2,2,D,2,1,H,5.25,3.6,1.67,,5,D,1,1,0,4,H,1,3
P1,2017-01-21,Porto,Rio Ave,4,2,H,1,1,D,1.25,5.5,12.0,,5,H,3,0,2,6,D,0,2
P1,2017-01-22,Belenenses,Setubal,1,2,A,0,1,A,2.1,3.1,3.75,,6,A,0,3,-1,3,A,-1,1
P1,2017-01-22,Benfica,Tondela,4,0,H,0,0,D,1.11,9.0,19.0,,6,H,3,0,4,4,D,0,0
P1,2017-01-22,Feirense,Estoril,1,0,H,1,0,H,2.25,3.0,3.5,,6,H,3,0,1,1,H,1,1
P1,2017-01-22,Sp Braga,Guimaraes,1,2,A,0,2,A,1.91,3.4,4.0,,6,A,0,3,-1,3,A,-2,2
P1,2017-01-23,Chaves,Nacional,2,0,H,2,0,H,2.0,3.1,4.2,,0,H,3,0,2,2,H,2,2
P1,2017-01-27,Boavista,Belenenses,0,1,A,0,0,D,2.3,3.0,3.4,,4,A,0,3,-1,1,D,0,0
P1,2017-01-28,Estoril,Porto,1,2,A,0,0,D,11.0,5.75,1.25,,5,A,0,3,-1,3,D,0,0
P1,2017-01-28,Guimaraes,Maritimo,0,0,D,0,0,D,2.0,3.4,3.75,,5,D,1,1,0,0,D,0,0
P1,2017-01-28,Nacional,Arouca,1,1,D,0,0,D,2.25,3.1,3.4,,5,D,1,1,0,2,D,0,0
P1,2017-01-28,Sp Lisbon,Pacos Ferreira,4,2,H,3,0,H,1.25,5.75,11.0,,5,H,3,0,2,6,H,3,3
P1,2017-01-28,Tondela,Chaves,2,0,H,2,0,H,2.75,3.25,2.55,,5,H,3,0,2,2,H,2,2
P1,2017-01-30,Setubal,Benfica,1,0,H,1,0,H,8.5,5.0,1.33,,0,H,3,0,1,1,H,1,1
P1,2017-02-02,Moreirense,Feirense,1,1,D,1,0,H,2.1,3.25,3.5,,3,D,1,1,0,2,H,1,1
P1,2017-02-02,Rio Ave,Sp Braga,1,0,H,0,0,D,2.38,3.1,3.1,,3,H,3,0,1,1,D,0,0
P1,2017-02-03,Pacos Ferreira,Guimaraes,2,0,H,0,0,D,3.6,3.2,2.1,,4,H,3,0,2,2,D,0,0
P1,2017-02-04,Chaves,Boavista,0,0,D,0,0,D,2.2,3.1,3.5,,5,D,1,1,0,0,D,0,0
P1,2017-02-04,Porto,Sp Lisbon,2,1,H,2,0,H,2.0,3.6,3.5,,5,H,3,0,1,3,H,2,2
P1,2017-02-05,Arouca,Setubal,2,1,H,2,1,H,2.2,3.1,3.5,,6,H,3,0,1,3,H,1,3
P1,2017-02-05,Belenenses,Tondela,0,0,D,0,0,D,1.95,3.3,4.0,,6,D,1,1,0,0,D,0,0
P1,2017-02-05,Benfica,Nacional,3,0,H,2,0,H,1.17,7.0,15.0,,6,H,3,0,3,3,H,2,2
P1,2017-02-06,Feirense,Rio Ave,2,1,H,1,0,H,3.0,3.2,2.4,,0,H,3,0,1,3,H,1,1
P1,2017-02-06,Maritimo,Moreirense,1,0,H,1,0,H,2.0,3.2,4.0,,0,H,3,0,1,1,H,1,1
P1,2017-02-06,Sp Braga,Estoril,1,1,D,0,1,A,1.44,4.0,8.0,,0,D,1,1,0,2,A,-1,1
P1,2017-02-10,Benfica,Arouca,3,0,H,2,0,H,1.18,6.5,15.0,,4,H,3,0,3,3,H,2,2
P1,2017-02-11,Estoril,Pacos Ferreira,2,1,H,2,1,H,2.38,3.1,3.1,,5,H,3,0,1,3,H,1,3
P1,2017-02-11,Guimaraes,Porto,0,2,A,0,1,A,6.5,3.8,1.53,,5,A,0,3,-2,2,A,-1,1
P1,2017-02-11,Setubal,Chaves,0,0,D,0,0,D,2.4,3.0,3.2,,5,D,1,1,0,0,D,0,0
P1,2017-02-11,Tondela,Feirense,0,1,A,0,0,D,2.25,3.0,3.5,,5,A,0,3,-1,1,D,0,0
P1,2017-02-12,Boavista,Sp Braga,1,1,D,1,1,D,3.0,3.0,2.5,,6,D,1,1,0,2,D,0,2
P1,2017-02-12,Moreirense,Sp Lisbon,2,3,A,2,1,H,6.5,3.75,1.55,,6,A,0,3,-1,5,H,1,3
P1,2017-02-12,Nacional,Belenenses,1,1,D,1,0,H,2.38,3.0,3.2,,6,D,1,1,0,2,H,1,1
P1,2017-02-13,Rio Ave,Maritimo,0,0,D,0,0,D,2.05,3.2,3.8,,0,D,1,1,0,0,D,0,0
P1,2017-02-17,Porto,Tondela,4,0,H,1,0,H,1.13,7.5,23.0,,4,H,3,0,4,4,H,1,1
P1,2017-02-18,Chaves,Arouca,2,0,H,1,0,H,2.05,3.1,4.0,,5,H,3,0,2,2,H,1,1
P1,2017-02-18,Feirense,Boavista,0,1,A,0,0,D,2.63,2.88,3.0,,5,A,0,3,-1,1,D,0,0
P1,2017-02-18,Moreirense,Estoril,1,1,D,0,0,D,2.1,3.1,3.8,,5,D,1,1,0,2,D,0,0
P1,2017-02-18,Sp Lisbon,Rio Ave,1,0,H,1,0,H,1.36,4.75,8.5,,5,H,3,0,1,1,H,1,1
P1,2017-02-19,Belenenses,Guimaraes,1,1,D,1,1,D,3.3,2.9,2.38,,6,D,1,1,0,2,D,0,2
P1,2017-02-19,Pacos Ferreira,Setubal,2,1,H,1,0,H,2.4,3.0,3.2,,6,H,3,0,1,3,H,1,1
P1,2017-02-19,Sp Braga,Benfica,0,1,A,0,0,D,5.0,3.5,1.73,,6,A,0,3,-1,1,D,0,0
P1,2017-02-20,Maritimo,Nacional,0,0,D,0,0,D,1.83,3.4,4.5,,0,D,1,1,0,0,D,0,0
P1,2017-02-24,Benfica,Chaves,3,1,H,1,1,D,1.18,6.5,15.0,,4,H,3,0,2,4,D,0,2
P1,2017-02-24,Guimaraes,Moreirense,1,0,H,1,0,H,1.75,3.5,4.75,,4,H,3,0,1,1,H,1,1
P1,2017-02-25,Estoril,Sp Lisbon,0,2,A,0,1,A,8.0,4.5,1.4,,5,A,0,3,-2,2,A,-1,1
P1,2017-02-25,Rio Ave,Pacos Ferreira,0,0,D,0,0,D,1.85,3.2,4.75,,5,D,1,1,0,0,D,0,0
P1,2017-02-25,Tondela,Maritimo,1,1,D,1,0,H,2.8,2.88,2.75,,5,D,1,1,0,2,H,1,1
P1,2017-02-26,Boavista,Porto,0,1,A,0,1,A,9.5,4.5,1.36,,6,A,0,3,-1,1,A,-1,1
P1,2017-02-26,Nacional,Feirense,0,0,D,0,0,D,2.05,3.0,4.2,,6,D,1,1,0,0,D,0,0
P1,2017-02-26,Setubal,Sp Braga,1,1,D,0,0,D,3.25,2.9,2.4,,6,D,1,1,0,2,D,0,0
