,league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file
75,P1,2019-10-30,20:00,Guimaraes,Belenenses,5,0,H,2,0,H,14,6,6,2,6,3,13,13,1,4,0,0,20,2,H,3,0,5,5,H,2,2,10,40,cleanP1_1920
76,P1,2019-10-30,20:15,Benfica,Portimonense,4,0,H,1,0,H,17,8,6,2,5,1,14,9,1,1,0,0,20,2,H,3,0,4,4,H,1,1,10,10,cleanP1_1920
77,P1,2019-10-30,21:00,Famalicao,Gil Vicente,2,1,H,1,0,H,10,12,2,4,9,2,17,15,3,1,0,0,21,2,H,3,0,1,3,H,1,1,30,10,cleanP1_1920
78,P1,2019-10-31,19:45,Pacos Ferreira,Sp Lisbon,1,2,A,0,1,A,12,12,5,4,10,4,19,25,5,7,0,0,19,3,A,0,3,-1,3,A,-1,1,50,70,cleanP1_1920
79,P1,2019-10-31,20:15,Boavista,Sp Braga,2,0,H,1,0,H,10,19,2,2,3,7,14,8,4,2,0,0,20,3,H,3,0,2,2,H,1,1,40,20,cleanP1_1920
80,P1,2019-10-31,20:15,Santa Clara,Setubal,1,1,D,1,1,D,20,13,4,3,7,6,9,17,3,5,0,1,20,3,D,1,1,0,2,D,0,2,30,75,cleanP1_1920
81,P1,2019-11-02,18:00,Benfica,Rio Ave,2,0,H,1,0,H,20,3,4,0,10,2,11,14,1,3,0,0,18,5,H,3,0,2,2,H,1,1,10,30,cleanP1_1920
82,P1,2019-11-02,20:30,Moreirense,Guimaraes,1,1,D,0,0,D,7,15,1,6,8,9,21,11,5,3,0,0,20,5,D,1,1,0,2,D,0,0,50,30,cleanP1_1920
86,P1,2019-11-03,20:15,Sp Braga,Famalicao,2,2,D,0,0,D,18,6,5,4,11,2,11,15,5,4,0,1,20,6,D,1,1,0,4,D,0,0,50,65,cleanP1_1920
85,P1,2019-11-03,20:00,Porto,Aves,1,0,H,1,0,H,12,9,4,0,6,2,21,15,1,1,0,0,20,6,H,3,0,1,1,H,1,1,10,10,cleanP1_1920
