league_code,date,time,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts
P1,2020-12-19,15:00,Maritimo,Belenenses,1,0,H,0,0,D,10,7,2,2,4,2,15,19,3,6,0,2,15,5,H,3,0,1,1,D,0,0,30,110
P1,2020-12-19,18:00,Tondela,Moreirense,0,0,D,0,0,D,6,10,1,2,1,6,17,11,4,3,1,0,18,5,D,1,1,0,0,D,0,0,65,30
P1,2020-12-19,20:30,Sp Lisbon,Farense,1,0,H,0,0,D,18,8,3,3,7,2,20,24,4,6,0,1,20,5,H,3,0,1,1,D,0,0,40,85
P1,2020-12-20,15:00,Pacos Ferreira,Boavista,1,1,D,0,0,D,7,8,3,4,5,3,13,13,1,3,0,0,15,6,D,1,1,0,2,D,0,0,10,30
P1,2020-12-20,17:30,Gil Vicente,Benfica,0,2,A,0,0,D,14,11,5,6,4,3,10,8,3,2,1,0,17,6,A,0,3,-2,2,D,0,0,55,20
P1,2020-12-20,20:00,Porto,Nacional,2,0,H,2,0,H,14,4,5,2,8,1,14,18,0,2,0,0,20,6,H,3,0,2,2,H,2,2,0,20
P1,2020-12-21,20:15,Santa Clara,Guimaraes,0,4,A,0,3,A,11,7,2,5,7,3,18,13,1,0,0,0,20,0,A,0,3,-4,4,A,-3,3,10,0
P1,2020-12-22,20:15,Sp Braga,Rio Ave,3,0,H,1,0,H,10,8,5,2,3,4,24,12,1,0,0,0,20,1,H,3,0,3,3,H,1,1,10,0
P1,2020-12-27,15:00,Famalicao,Gil Vicente,0,1,A,0,1,A,7,8,1,3,4,6,13,9,1,1,0,0,15,6,A,0,3,-1,1,A,-1,1,10,10
P1,2020-12-27,15:00,Nacional,Tondela,2,0,H,1,0,H,10,13,4,2,2,6,16,18,1,6,0,2,15,6,H,3,0,2,2,H,1,1,10,110
P1,2020-12-27,17:30,Farense,Pacos Ferreira,1,1,D,0,0,D,6,13,1,3,5,3,24,25,3,6,0,0,17,6,D,1,1,0,2,D,0,0,30,60
P1,2020-12-27,20:00,Belenenses,Sp Lisbon,1,2,A,1,2,A,10,6,7,4,5,3,27,16,4,3,1,0,20,6,A,0,3,-1,3,A,-1,3,65,30
P1,2020-12-28,18:45,Rio Ave,Maritimo,1,3,A,1,0,H,10,13,5,6,4,5,19,14,3,2,0,0,18,0,A,0,3,-2,4,H,1,1,30,20
P1,2020-12-28,21:00,Boavista,Sp Braga,1,4,A,0,3,A,13,11,5,7,8,6,18,15,1,1,0,0,21,0,A,0,3,-3,5,A,-3,3,10,10
P1,2020-12-29,18:00,Benfica,Portimonense,2,1,H,2,0,H,15,13,6,2,3,2,18,12,3,4,0,0,18,1,H,3,0,1,3,H,2,2,30,40
P1,2020-12-29,18:45,Moreirense,Santa Clara,1,0,H,0,0,D,12,8,2,1,2,0,15,24,1,5,0,0,18,1,H,3,0,1,1,D,0,0,10,50
P1,2020-12-29,21:00,Guimaraes,Porto,2,3,A,1,1,D,4,17,2,7,0,3,15,10,2,1,0,0,21,1,A,0,3,-1,5,D,0,2,20,10
P1,2021-01-02,18:00,Sp Lisbon,Sp Braga,2,0,H,0,0,D,6,12,4,3,5,4,17,17,3,4,0,0,18,5,H,3,0,2,2,D,0,0,30,40
P1,2021-01-03,13:00,Tondela,Famalicao,1,0,H,0,0,D,9,17,3,7,4,5,15,13,4,5,0,0,13,6,H,3,0,1,1,D,0,0,40,50
P1,2021-01-03,15:00,Maritimo,Boavista,0,0,D,0,0,D,9,10,4,3,2,3,16,21,3,4,0,0,15,6,D,1,1,0,0,D,0,0,30,40
P1,2021-01-03,19:00,Pacos Ferreira,Rio Ave,2,0,H,1,0,H,15,12,4,2,3,4,14,9,0,0,0,0,19,6,H,3,0,2,2,H,1,1,0,0
P1,2021-01-03,21:00,Porto,Moreirense,3,0,H,1,0,H,20,3,7,2,6,1,15,14,2,0,0,0,21,6,H,3,0,3,3,H,1,1,20,0
P1,2021-01-04,17:00,Santa Clara,Benfica,1,1,D,0,1,A,12,7,4,2,3,10,15,14,3,1,0,0,17,0,D,1,1,0,2,A,-1,1,30,10
P1,2021-01-04,19:00,Gil Vicente,Belenenses,0,0,D,0,0,D,13,7,5,1,8,3,10,19,2,1,0,0,19,0,D,1,1,0,0,D,0,0,20,10
P1,2021-01-04,21:15,Portimonense,Farense,2,0,H,0,0,D,13,6,5,0,5,1,21,11,3,2,0,0,21,0,H,3,0,2,2,D,0,0,30,20
P1,2021-01-07,21:00,Sp Braga,Maritimo,2,1,H,1,0,H,18,9,3,2,4,1,18,9,3,4,0,0,21,3,H,3,0,1,3,H,1,1,30,40
P1,2021-01-08,18:00,Nacional,Sp Lisbon,0,2,A,0,1,A,6,24,1,5,1,10,10,10,3,1,0,0,18,4,A,0,3,-2,2,A,-1,1,30,10
P1,2021-01-08,19:00,Benfica,Tondela,2,0,H,0,0,D,21,3,5,2,11,0,19,11,2,0,0,0,19,4,H,3,0,2,2,D,0,0,20,0
P1,2021-01-08,19:00,Rio Ave,Portimonense,3,0,H,0,0,D,16,13,7,3,4,4,10,22,0,3,0,0,19,4,H,3,0,3,3,D,0,0,0,30
P1,2021-01-08,21:00,Famalicao,Porto,1,4,A,1,2,A,8,9,3,5,3,3,21,9,5,1,0,0,21,4,A,0,3,-3,5,A,-1,3,50,10
P1,2021-01-09,17:00,Moreirense,Guimaraes,2,2,D,1,1,D,7,9,6,3,2,3,19,12,2,3,0,0,17,5,D,1,1,0,4,D,0,2,20,30
P1,2021-01-09,20:30,Boavista,Santa Clara,1,1,D,1,1,D,13,7,5,2,3,4,18,27,3,4,0,0,20,5,D,1,1,0,2,D,0,2,30,40
P1,2021-01-10,15:00,Farense,Gil Vicente,3,1,H,2,1,H,10,7,4,3,7,6,15,18,1,2,1,0,15,6,H,3,0,2,4,H,1,3,35,20
P1,2021-01-10,20:00,Belenenses,Pacos Ferreira,0,2,A,0,1,A,14,9,6,5,8,4,20,11,2,2,0,0,20,6,A,0,3,-2,2,A,-1,1,20,20
P1,2021-01-15,18:30,Sp Lisbon,Rio Ave,1,1,D,1,0,H,14,6,4,1,5,2,18,17,3,6,0,0,18,4,D,1,1,0,2,H,1,1,30,60
P1,2021-01-15,21:00,Porto,Benfica,1,1,D,1,1,D,9,12,4,4,1,3,17,26,4,4,1,0,21,4,D,1,1,0,2,D,0,2,65,40
P1,2021-01-16,15:30,Pacos Ferreira,Sp Braga,2,0,H,0,0,D,8,12,4,4,2,4,14,20,1,2,0,0,15,5,H,3,0,2,2,D,0,0,10,20
P1,2021-01-16,20:30,Tondela,Boavista,3,1,H,1,0,H,18,8,7,2,7,5,16,7,1,0,0,2,20,5,H,3,0,2,4,H,1,1,10,50
P1,2021-01-17,15:00,Nacional,Moreirense,0,1,A,0,0,D,18,15,3,4,5,6,11,19,4,5,0,0,15,6,A,0,3,-1,1,D,0,0,40,50
P1,2021-01-17,17:30,Santa Clara,Famalicao,1,2,A,0,0,D,11,9,2,4,1,4,16,23,5,4,0,0,17,6,A,0,3,-1,3,D,0,0,50,40
P1,2021-01-17,20:00,Gil Vicente,Maritimo,0,1,A,0,0,D,14,16,3,1,3,4,19,16,1,5,0,0,20,6,A,0,3,-1,1,D,0,0,10,50
P1,2021-01-18,20:15,Portimonense,Belenenses,1,0,H,1,0,H,15,7,7,2,7,2,19,15,3,3,0,1,20,0,H,3,0,1,1,H,1,1,30,55
P1,2021-01-21,20:15,Guimaraes,Nacional,3,1,H,1,1,D,10,12,4,5,3,3,25,8,3,2,0,0,20,3,H,3,0,2,4,D,0,2,30,20
P1,2021-01-24,15:00,Maritimo,Pacos Ferreira,0,3,A,0,1,A,13,11,4,5,5,2,15,27,2,3,0,0,15,6,A,0,3,-3,3,A,-1,1,20,30
P1,2021-01-24,17:30,Moreirense,Portimonense,2,2,D,2,1,H,11,10,3,4,3,1,12,17,3,2,0,0,17,6,D,1,1,0,4,H,1,3,30,20
P1,2021-01-24,20:15,Famalicao,Guimaraes,0,1,A,0,1,A,11,9,5,3,7,4,17,17,2,4,0,0,20,6,A,0,3,-1,1,A,-1,1,20,40
P1,2021-01-25,14:30,Belenenses,Tondela,2,0,H,2,0,H,8,12,3,2,4,9,15,19,2,3,0,0,14,0,H,3,0,2,2,H,2,2,20,30
P1,2021-01-25,16:30,Rio Ave,Santa Clara,1,2,A,1,1,D,11,12,5,5,6,2,13,16,6,1,0,0,16,0,A,0,3,-1,3,D,0,2,60,10
P1,2021-01-25,17:00,Benfica,Nacional,1,1,D,1,0,H,11,7,3,2,7,3,21,15,1,2,0,0,17,0,D,1,1,0,2,H,1,1,10,20
P1,2021-01-25,20:15,Farense,Porto,0,1,A,0,1,A,5,18,1,8,7,4,12,18,1,1,0,0,20,0,A,0,3,-1,1,A,-1,1,10,10
P1,2021-01-26,19:45,Sp Braga,Gil Vicente,1,0,H,0,0,D,13,6,1,0,7,4,16,12,5,1,0,0,19,1,H,3,0,1,1,D,0,0,50,10
P1,2021-01-26,21:15,Boavista,Sp Lisbon,0,2,A,0,1,A,7,14,3,6,4,8,25,13,2,2,0,0,21,1,A,0,3,-2,2,A,-1,1,20,20
P1,2021-01-30,15:30,Nacional,Famalicao,2,1,H,0,1,A,17,14,8,4,9,3,22,15,5,1,0,0,15,5,H,3,0,1,3,A,-1,1,50,10
P1,2021-01-30,18:00,Tondela,Farense,2,0,H,0,0,D,7,10,2,2,5,5,23,16,5,1,0,0,18,5,H,3,0,2,2,D,0,0,50,10
P1,2021-01-30,20:30,Portimonense,Boavista,1,2,A,1,1,D,9,11,2,6,4,2,18,18,3,3,0,0,20,5,A,0,3,-1,3,D,0,2,30,30
P1,2021-01-31,15:00,Guimaraes,Maritimo,1,0,H,0,0,D,13,9,4,5,7,1,23,18,2,2,0,0,15,6,H,3,0,1,1,D,0,0,20,20
P1,2021-02-01,17:00,Santa Clara,Belenenses,2,0,H,1,0,H,9,11,3,1,2,2,23,20,3,2,0,0,17,0,H,3,0,2,2,H,1,1,30,20
P1,2021-02-01,19:00,Porto,Rio Ave,2,0,H,1,0,H,14,8,5,2,7,8,19,11,1,2,0,0,19,0,H,3,0,2,2,H,1,1,10,20
P1,2021-02-01,19:45,Moreirense,Sp Braga,0,4,A,0,3,A,14,14,4,7,5,5,8,20,2,1,0,0,19,0,A,0,3,-4,4,A,-3,3,20,10
P1,2021-02-01,21:30,Sp Lisbon,Benfica,1,0,H,0,0,D,10,5,2,2,8,1,12,17,3,5,0,0,21,0,H,3,0,1,1,D,0,0,30,50
P1,2021-02-02,20:15,Gil Vicente,Pacos Ferreira,1,2,A,0,2,A,3,9,3,6,8,3,16,21,3,5,0,0,20,1,A,0,3,-1,3,A,-2,2,30,50
P1,2021-02-04,15:00,Farense,Santa Clara,1,1,D,1,0,H,16,11,4,3,11,7,15,17,0,3,0,0,15,3,D,1,1,0,2,H,1,1,0,30
P1,2021-02-04,19:00,Belenenses,Porto,0,0,D,0,0,D,6,16,0,6,2,10,12,13,4,2,0,0,19,3,D,1,1,0,0,D,0,0,40,20
P1,2021-02-04,21:00,Sp Braga,Portimonense,2,1,H,0,1,A,16,7,4,5,4,1,12,21,0,2,0,0,21,3,H,3,0,1,3,A,-1,1,0,20
P1,2021-02-04,21:30,Famalicao,Moreirense,0,2,A,0,2,A,19,10,2,3,5,3,10,29,2,5,1,0,21,3,A,0,3,-2,2,A,-2,2,45,50
P1,2021-02-05,17:00,Rio Ave,Nacional,0,0,D,0,0,D,15,18,4,7,5,3,14,25,2,2,0,0,17,4,D,1,1,0,0,D,0,0,20,20
P1,2021-02-05,19:00,Benfica,Guimaraes,0,0,D,0,0,D,22,5,5,2,9,2,14,19,1,2,0,0,19,4,D,1,1,0,0,D,0,0,10,20
P1,2021-02-05,19:00,Maritimo,Sp Lisbon,0,2,A,0,1,A,5,19,0,4,2,5,19,22,2,1,0,0,19,4,A,0,3,-2,2,A,-1,1,20,10
P1,2021-02-05,21:00,Boavista,Gil Vicente,1,2,A,1,1,D,16,12,5,5,3,5,11,24,2,3,0,0,21,4,A,0,3,-1,3,D,0,2,20,30
